id,class_number,discipline_id,professor,semester,created_at
5eac3502-9328-49cb-9349-2865996e62fc,31,405723ff-b4d8-47de-8243-3313be920e14,KARLA MOREIRA VIEIRA(T),2024/1,2024-09-09 00:49:27.545330
2b226837-83bc-4722-8d6a-406a1a976663,32,405723ff-b4d8-47de-8243-3313be920e14,FERNANDA TATIA CRUZ(T),2024/1,2024-09-09 00:49:27.545330
c511f0c7-e4bc-4c7c-bbfd-745dd479c245,33,405723ff-b4d8-47de-8243-3313be920e14,LUCILIA ALVES LINHARES(T),2024/1,2024-09-09 00:49:27.545330
dac0244b-377c-4aab-90fd-82ba586e2941,31,d48e7682-ab38-4512-ba5f-78035a87095d,KARLA MOREIRA VIEIRA(P),2024/1,2024-09-09 00:49:27.545330
f17a26de-d16f-43cd-bda2-1ef98968566c,32,d48e7682-ab38-4512-ba5f-78035a87095d,FERNANDA TATIA CRUZ(P),2024/1,2024-09-09 00:49:27.545330
7cd00ec6-c208-407e-9760-6a5b4970bd84,33,d48e7682-ab38-4512-ba5f-78035a87095d,KARLA MOREIRA VIEIRA(P),2024/1,2024-09-09 00:49:27.545330
edd25b46-a7ec-4646-9a4c-46206259d733,34,d48e7682-ab38-4512-ba5f-78035a87095d,FERNANDA TATIA CRUZ(P),2024/1,2024-09-09 00:49:27.545330
063367a6-d5ae-471a-94cc-ddfa9041e1db,35,d48e7682-ab38-4512-ba5f-78035a87095d,LUCILIA ALVES LINHARES(P),2024/1,2024-09-09 00:49:27.545330
b510c7af-bdea-443d-a5f4-a1c84e5afcdf,36,d48e7682-ab38-4512-ba5f-78035a87095d,FERNANDA TATIA CRUZ(P),2024/1,2024-09-09 00:49:27.545330
eb269d42-e240-477c-945f-482cd30320a4,37,d48e7682-ab38-4512-ba5f-78035a87095d,KARLA MOREIRA VIEIRA(P),2024/1,2024-09-09 00:49:27.545330
96dee032-d25e-459c-910d-041a271936ee,11,510d0532-d053-4872-815e-bdb819c97b1f,FERNANDA TATIA CRUZ(T),2024/1,2024-09-09 00:49:27.545330
